Species	Eint	Emed	Emag	Esti	Efla	Efal	Cca	Eac	Ebr	Emax	Emit	Ene	Ete	Epr	Sne	Nca	Tgo	Hha
Ko00010	0.5	0.568181818	0.568181818	0.613636364	0.613636364	0.727272727	0.590909091	0.545454545	0.477272727	0.409090909	0.227272727	0.568181818	0.545454545	0.272727273	0.5	0.590909091	0.590909091	0.568181818
Ko00020	0.64	0.8	0.72	0.88	0.8	1	0.92	0.72	0.72	0.52	0.4	0.88	0.84	0.24	0.88	0.96	0.92	0.92
Ko00030	0.384615385	0.461538462	0.538461538	0.615384615	0.576923077	0.692307692	0.538461538	0.461538462	0.538461538	0.384615385	0.307692308	0.576923077	0.615384615	0.346153846	0.461538462	0.730769231	0.769230769	0.692307692
Ko00040	0.117647059	0.176470588	0.176470588	0.176470588	0.176470588	0.117647059	0.117647059	0.117647059	0.058823529	0.058823529	0	0.117647059	0.176470588	0	0.117647059	0.117647059	0.117647059	0.117647059
Ko00051	0.318181818	0.409090909	0.454545455	0.5	0.5	0.590909091	0.5	0.5	0.363636364	0.454545455	0.272727273	0.545454545	0.5	0.227272727	0.409090909	0.5	0.5	0.454545455
Ko00052	0.272727273	0.318181818	0.227272727	0.318181818	0.363636364	0.318181818	0.227272727	0.227272727	0.227272727	0.136363636	0.045454545	0.272727273	0.272727273	0.090909091	0.227272727	0.227272727	0.227272727	0.227272727
Ko00053	0.071428571	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143	0.142857143	0.071428571	0.071428571	0	0.071428571	0.071428571	0	0.142857143	0.142857143	0.142857143	0.142857143
Ko00061	0.545454545	0.545454545	0.545454545	0.5	0.545454545	0.5	0.545454545	0.409090909	0.227272727	0.363636364	0.181818182	0.409090909	0.454545455	0.227272727	0.5	0.545454545	0.545454545	0.545454545
Ko00062	0.571428571	0.571428571	0.428571429	0.571428571	0.571428571	0.5	0.5	0.428571429	0.142857143	0.285714286	0.142857143	0.5	0.571428571	0.071428571	0.571428571	0.571428571	0.571428571	0.642857143
Ko00071	0.363636364	0.545454545	0.363636364	0.454545455	0.454545455	0.545454545	0.5	0.409090909	0.227272727	0.272727273	0.272727273	0.409090909	0.409090909	0.181818182	0.454545455	0.590909091	0.590909091	0.590909091
Ko00072	0	0.25	0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5	0.5	0.5	0.5	0.5
Ko00073	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0	0	0	0	0	0	0.333333333	0	0.333333333	0
Ko00100	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0	0	0.0625	0.0625	0.0625	0	0.125	0.0625	0.0625	0.0625
Ko00120	0	0	0.5	0	0	1	0.5	0.5	0	0	0	0.5	0.5	0	0	0	0	0
Ko00130	0.136363636	0.136363636	0.181818182	0.136363636	0.136363636	0.090909091	0.181818182	0.136363636	0.090909091	0.090909091	0.090909091	0.136363636	0.090909091	0.045454545	0.136363636	0.181818182	0.181818182	0.181818182
Ko00140	0.1	0.2	0.2	0.2	0.3	0.3	0.2	0.2	0.2	0.1	0	0.1	0.2	0.1	0.2	0.2	0.3	0.3
Ko00190	0.69047619	0.738095238	0.642857143	0.785714286	0.785714286	0.904761905	0.785714286	0.619047619	0.619047619	0.452380952	0.476190476	0.69047619	0.80952381	0.214285714	0.833333333	0.952380952	0.880952381	0.904761905
Ko00194	0.041666667	0.083333333	0.083333333	0.083333333	0.041666667	0.083333333	0.041666667	0.041666667	0	0.083333333	0.041666667	0.083333333	0.083333333	0.041666667	0.083333333	0.083333333	0.125	0.083333333
Ko00195	0.055555556	0.111111111	0.111111111	0.111111111	0.055555556	0.111111111	0.055555556	0.055555556	0	0.111111111	0.055555556	0.111111111	0.111111111	0.055555556	0.111111111	0.111111111	0.166666667	0.111111111
Ko00196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko00199	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111111	0.111111111	0.111111111	0.111111111	0.111111111
Ko00220	0.19047619	0.142857143	0.238095238	0.238095238	0.238095238	0.285714286	0.19047619	0.238095238	0.19047619	0.142857143	0.095238095	0.285714286	0.285714286	0.095238095	0.19047619	0.19047619	0.19047619	0.19047619
Ko00230	0.428571429	0.436090226	0.458646617	0.511278195	0.541353383	0.496240602	0.473684211	0.473684211	0.360902256	0.368421053	0.293233083	0.496240602	0.533834586	0.240601504	0.526315789	0.563909774	0.563909774	0.578947368
Ko00232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko00240	0.541176471	0.552941176	0.564705882	0.658823529	0.705882353	0.658823529	0.588235294	0.611764706	0.470588235	0.541176471	0.388235294	0.588235294	0.705882353	0.282352941	0.611764706	0.623529412	0.623529412	0.623529412
Ko00250	0.484848485	0.393939394	0.545454545	0.454545455	0.575757576	0.545454545	0.515151515	0.363636364	0.393939394	0.393939394	0.212121212	0.454545455	0.454545455	0.212121212	0.363636364	0.363636364	0.363636364	0.363636364
Ko00254	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
